Company_Name,Symbol_BSE,Symbol_NSE,BSE_Code,ISIN
Mahip Industries Limited,MAHIP,,542503.0,INE00CX01017
Bikaji Foods International Limited,BIKAJI,BIKAJI,543653.0,INE00E101023
Megastar Foods Limited,MEGASTAR,MEGASTAR,541352.0,INE00EM01016
Hariom Pipe Industries Limited,HARIOMPIPE,HARIOMPIPE,543517.0,INE00EV01017
Prudent Corporate Advisory Services Limited,PRUDENT,PRUDENT,543527.0,INE00F201020
Ami Organics Limited,AMIORG,,543349.0,INE00FF01017
Acutaas Chemicals Limited,,ACUTAAS,,INE00FF01025
B&A PACKAGING INDIA LIMITED,BAPACK,,523186.0,INE00FM01013
Swiggy Limited,,SWIGGY,,INE00H001014
BN Agrochem Limited,BNHOLDINGS,BNAGROCHEM,526125.0,INE00HZ01011
ShreeOswal Seeds And Chemicals Limited,,OSWALSEEDS,,INE00IK01029
Stove Kraft Limited,STOVEKRAFT,STOVEKRAFT,543260.0,INE00IN01015
Deep Polymers Limited,DEEP,,541778.0,INE00IY01012
Rajnandini Metal Limited,,RAJMET,,INE00KV01022
SONAM LIMITED,,SONAMLTD,,INE00LM01029
Craftsman Automation Limited,CRAFTSMAN,CRAFTSMAN,543276.0,INE00LO01017
Sterling and Wilson Renewable Energy Limited,SWSOLAR,SWSOLAR,542760.0,INE00M201021
Interarch Building Solutions Limited,,INTERARCH,,INE00M901018
Dharmaj Crop Guard Limited,DHARMAJ,DHARMAJ,543687.0,INE00OQ01016
Ahlada Engineers Limited,,AHLADA,,INE00PV01013
Studds Accessories Limited,,STUDDS,,INE00Q601028
S. M. Gold Limited,SMGOLD,,542034.0,INE00Q901014
Synergy Green Industries Limited,SGIL,SGIL,541929.0,INE00QT01015
Dalmia Bharat Limited,DALBHARAT,DALBHARAT,542216.0,INE00R701025
Highway Infrastructure Limited,,HILINFRA,,INE00RL01028
Nila Spaces Limited,NILASPACES,NILASPACES,542231.0,INE00S901012
BCPL Railway Infrastructure Limited,BCPL,BCPL,542057.0,INE00SW01015
Supershakti Metaliks Limited,SUPERSHAKT,,541701.0,INE00SY01011
SUDARSHAN PHARMA INDUSTRIES LI,SUDARSHAN,,543828.0,INE00TV01015
Unicommerce Esolutions Limited,,UNIECOM,,INE00U401027
Manorama Industries Limited,MANORAMA,,541974.0,INE00VM01010
Manorama Industries Limited,,MANORAMA,,INE00VM01036
Affle 3i Limited,AFFLE,AFFLE,542752.0,INE00WC01027
CMR Green Technologies Limited,,CMRGREEN,,INE00WV01027
Ganesh Films India Limited,GFIL,,541703.0,INE00WY01013
SEDEMAC Mechatronics Limited,,SEDEMAC,,INE00XB01019
Flair Writing Industries Limited,,FLAIR,,INE00Y201027
Akg Exim Limited,,AKG,,INE00Y801016
A B Infrabuild Limited,,ABINFRA,,INE00YB01025
Jaro Institute of Technology Management and Research Limited,,JARO,,INE00YJ01010
Kritika Wires Limited,,KRITIKA,,INE00Z501029
Abans Financial Services Limited,AHL,AFSL,543712.0,INE00ZE01026
GOVIND POY OXYGEN LTD.,ZGOVPOOX,,509586.0,INE00ZH01011
Entero Healthcare Solutions Limited,,ENTERO,,INE010601016
GLOBAL KNITFAB LTD.,GLOKNIT,,531895.0,INE010901010
Prism Johnson Limited,PRSMJOHNSN,PRSMJOHNSN,500338.0,INE010A01011
Zydus Lifesciences Limited,ZYDUSLIFE,ZYDUSLIFE,532321.0,INE010B01027
SWISS MILITARY CONSUMER GOODS ,SWISSMLTRY,,523558.0,INE010C01025
SWISS MILITARY CONSUMER GOODS ,SWISSMIL-RE,,750682.0,INE010C20017
SWISS MILITARY CONSUMER GOODS ,SWISSM-RE,,750724.0,INE010C20025
Tejas Networks Limited,TEJASNET,TEJASNET,540595.0,INE010J01012
Ultracab (India) Limited,ULTRACAB,,538706.0,INE010R01023
L&T Technology Services Limited,LTTS,LTTS,540115.0,INE010V01017
JINAAM?S DRESS LIMITED,JINAAM,,542653.0,INE011201014
CLIO INFOTECH LTD.,CLIOINFO,,530839.0,INE011B01017
GOVIND RUBBER LTD.,GOVINDRU,,509148.0,INE011C01015
SHERVANI INDUSTRIAL SYNDICATE,SHERVANI,,526117.0,INE011D01013
Balu Forge Industries Limited,BALUFORGE,BALUFORGE,531112.0,INE011E01029
RAJVIR INDUSTRIES LTD.,RAJVIR,,532665.0,INE011H01014
Tega Industries Limited,TEGA,TEGA,543413.0,INE011K01018
Atishay Limited,ATISHAY,,538713.0,INE011R01013
ACC Limited,ACC,ACC,500410.0,INE012A01025
DIANA TEA CO.LTD.,DIANATEA,,530959.0,INE012E01035
POLYTEX INDIA LTD.,POLYTEX,,512481.0,INE012F01016
R&B DENIMS LTD,RNBDENIMS,,538119.0,INE012Q01021
R&B Denims Limited,,RNBDENIMS,,INE012Q01039
Kshitij Polyline Limited,,KSHITIJPOL,,INE013801027
RELIANCE CAPITAL LTD.,RELCAPITAL,,500111.0,INE013A01015
PANASONIC CARBON INDIA CO.LTD.,PANCARBON,,508941.0,INE013E01017
KRISHANVEER FORGE LIMITED,KVFORGE,,513369.0,INE013J01016
Onesource Specialty Pharma Limited,,ONESOURCE,,INE013P01021
TECIL Chemicals and Hydro Power Limited,TRELCHE-B,TECILCHEM,506680.0,INE014B01011
KOVILPATTI LAKSHMI ROLLER FLOU,KLRFM,,507598.0,INE014E01015
WIM PLAST LTD.,WIMPLAST,,526586.0,INE015B01018
Tinna Rubber and Infrastructure Limited,TINNARUBR,TINNARUBR,530475.0,INE015C01016
Manaksia Limited,MANAKSIA,MANAKSIA,532932.0,INE015D01022
PARAGON FINANCE LTD.,PARAGONF,,531255.0,INE015E01012
RSC INTERNATIONAL LTD.,RSCINT,,530179.0,INE015F01019
Dabur India Limited,DABUR,DABUR,500096.0,INE016A01026
RAJESWARI INFRASTRUCTURE LIMIT,RAJINFRA,,526823.0,INE016C01014
Diligent Media Corporation Limited,DNAMEDIA,DNAMEDIA,540789.0,INE016M01021
Ceinsys Tech Limited,CEINSYSTECH,CEINSYS,538734.0,INE016Q01014
Aryan Share & Stock Brokers Lt,ARYAN,,542176.0,INE016X01010
The Great Eastern Shipping Company Limited,GESHIP,GESHIP,500620.0,INE017A01032
KISAN MOULDINGS LTD.,KISAN,,530145.0,INE017C01012
INTEC CAPITAL LTD.,INTECCAP,,526871.0,INE017E01018
SERA INVESTMENTS & FINANCE IND,SERA,,512399.0,INE017I01027
MULTIPURPOSE TRADING & AGENCIE,ZMULTIPU,,504356.0,INE017P01014
Sarthak Metals Limited,SMLT,SMLT,540393.0,INE017W01010
Suvidhaa Infoserve Limited,SUVIDHAA,SUVIDHAA,543281.0,INE018401013
Larsen & Toubro Limited,LT,LT,500510.0,INE018A01030
SBI Cards and Payment Services Limited,SBICARD,SBICARD,543066.0,INE018E01016
RITA FINANCE AND LEASING LIMIT,RFLL,,543256.0,INE018S01016
JSW Steel Limited,JSWSTEEL,JSWSTEEL,500228.0,INE019A01038
TRANSCHEM LTD.,TRANSCHEM,,500422.0,INE019B01010
Himadri Speciality Chemical Limited,HSCL,HSCL,500184.0,INE019C01026
Mahaveer Infoway Limited,MINFY,,539383.0,INE019D01016
Health X Platform Limited,SASTASUNDR,HEALTHX,533259.0,INE019J01013
Stanley Lifestyles Limited,,STANLEY,,INE01A001028
Ranjeet Mechatronics Limited,RANJEET,,541945.0,INE01A501019
Add-Shop E-Retail Limited,ASRL,,541865.0,INE01B501018
Add-Shop E-Retail Limited,ASRL-RE,,750726.0,INE01B520018
Antony Waste Handling Cell Limited,AWHCL,AWHCL,543254.0,INE01BK01022
Northern Spirits Limited,NSL,,542628.0,INE01BL01012
Aartech Solonics Limited,AARTECH,,542580.0,INE01C001018
Aartech Solonics Limited,,AARTECH,,INE01C001026
Vishal Mega Mart Limited,,VMM,,INE01EA01019
B&B Triplewall Containers Limited,BBTCL,BBTCL,543668.0,INE01EE01011
Ritco Logistics Limited,RITCO,RITCO,542383.0,INE01EG01016
Spectrum Electrical Industries Limited,,SPECTRUM,,INE01EO01010
Baazar Style Retail Limited,,STYLEBAAZA,,INE01FR01028
Iris Clothings Limited,,IRISDOREME,,INE01GN01025
Diksha Greens Limited,DGL,,542155.0,INE01GR01018
Chandni Machines Limited,CHANDNIMACH,,542627.0,INE01GZ01011
Silgo Retail Limited,,SILGO,,INE01II01013
SKY GOLD AND DIAMONDS LIMITED,SKYGOLD,SKYGOLD,541967.0,INE01IU01018
Shubham Polyspin Limited,SHUBHAM,,542019.0,INE01J501010
Marine Electricals (India) Limited,,MARINE,,INE01JE01028
Harish Textile Engineers Limit,HARISH,,542682.0,INE01K301012
Vinny Overseas Limited,VINNY,VINNY,543670.0,INE01KI01027
SAGAR TOURIST RESORTS LTD.,SGARRES,,526085.0,INE01M801019
Mahesh Developers Limited,MAHESH,,542677.0,INE01MO01013
MODERN DENIM LTD.,MDRNSUT-B,,500451.0,INE01N301019
Shankar Lal Rampal Dye-Chem Limited,SRD,SRD,542232.0,INE01NE01012
ASIAN VEGPRO INDUSTRIES LTD.,ASIANVE,,530413.0,INE01OU01016
ASIAN FERTILIZERS LTD.,ASIANFR,,524695.0,INE01OY01018
Xelpmoc Design And Tech Limited,XELPMOC,XELPMOC,542367.0,INE01P501012
eMudhra Limited,EMUDHRA,EMUDHRA,543533.0,INE01QM01018
Vikran Engineering Limited,,VIKRAN,,INE01R501028
BOMBAY OXYGEN INVESTMENTS LIMI,BOMOXY-B1,,509470.0,INE01TL01014
Canara HSBC Life Insurance Company Limited,,CANHLIFE,,INE01TY01017
Spencer's Retail Limited,SPENCER,SPENCERS,542337.0,INE020801028
Spencer's Retail Limited,SPENCER-RE,,750642.0,INE020820010
REC Limited,RECLTD,RECLTD,532955.0,INE020B01018
Baid Finserv Limited,BAIDFIN,BAIDFIN,511724.0,INE020D01022
Inspirisys Solutions Limited,INSPIRISYS,INSPIRISYS,532774.0,INE020G01017
Gokul Refoils and Solvent Limited,GOKUL,GOKUL,532980.0,INE020J01029
GALAXY BEARINGS LTD.,GALXBRG,,526073.0,INE020S01012
Asian Paints Limited,ASIANPAINT,ASIANPAINT,500820.0,INE021A01026
SABOO BROTHERS LTD.,SABOOBR,,530267.0,INE021N01011
Dodla Dairy Limited,DODLA,DODLA,543306.0,INE021O01019
Eurotex Industries and Exports Limited,EUROTEXIND,EUROTEXIND,521014.0,INE022C01012
SHAMROCK INDUSTRIAL CO.LTD.,SHAMROIN,,531240.0,INE022F01015
Asian Granito India Limited,ASIANTILES,ASIANTILES,532888.0,INE022I01019
ASIAN GRANITO INDIA LIMITED,ASIAN-RE,,750669.0,INE022I20019
ASIAN GRANITO INDIA LIMITED,ASIAN-RE1,,750709.0,INE022I20027
JRI INDUSTRIES & INFRASTRUCTUR,JRIIIL,,506016.0,INE022M01029
ATLAS JEWELLERY INDIA LIMITED,AJIL,,514394.0,INE022N01019
Indian Energy Exchange Limited,IEX,IEX,540750.0,INE022Q01020
Nalwa Sons Investments Limited,NSIL,NSIL,532256.0,INE023A01030
Nectar Lifesciences Limited,NECLIFE,NECLIFE,532649.0,INE023H01027
Setubandhan Infrastructure Limited,SETUINFRA,SETUINFRA,533605.0,INE023M01027
ACE MEN ENGG WORKS LIMITED,ACEMEN,,539661.0,INE023R01018
Jiya Eco-Products Limited,JIYAECO,,539225.0,INE023S01016
Aeroflex Industries Limited,,AEROFLEX,,INE024001021
JOINDRE CAPITAL SERVICES LTD.,JOINDRE,,531861.0,INE024B01010
Prudential Sugar Corporation Limited,PRUDMOULI,PRUDMOULI,500342.0,INE024D01016
Shilchar Technologies Limited,SHILCTECH,SHILCTECH,531201.0,INE024F01011
Gravita India Limited,GRAVITA,GRAVITA,533282.0,INE024L01027
Consolidated Finvest & Holdings Limited,,CONSOFINVT,,INE025A01027
Goldiam International Limited,GOLDIAM,GOLDIAM,526729.0,INE025B01025
HEERA ISPAT LTD.,HEERAISP,,526967.0,INE025D01013
VISHVJYOTI TRADING LTD.,VISJYTR,,512067.0,INE025N01020
Artemis Medicare Services Limited,ARTEMISMED,ARTEMISMED,542919.0,INE025R01021
Gujarat State Fertilizers & Chemicals Limited,GSFC,GSFC,500690.0,INE026A01025
JIK INDUSTRIES LTD.,JIKIND,,511618.0,INE026B01049
NDA SECURITIES LTD.,NDASEC,,511535.0,INE026C01013
LOTUS CHOCOLATE CO.LTD.,LOTUSCHO,,523475.0,INE026D01011
BHAGWATI OXYGEN LTD.,BHAGWOX,,509449.0,INE026I01010
Tilak Ventures Limited,TILAK,,503663.0,INE026L01022
Tilak Ventures Limited,TILAK-RE,,750698.0,INE026L20022
Rashtriya Chemicals and Fertilizers Limited,RCF,RCF,524230.0,INE027A01015
NETTLINX LTD.,NETTLINX,,511658.0,INE027D01019
SIEL FINANCIAL SERVICES LTD.,SIELFNS,,532217.0,INE027F01014
Max Healthcare Institute Limited,MAXHEALTH,MAXHEALTH,543220.0,INE027H01010
Tirupati Fin-Lease Ltd.,TFLL,,539488.0,INE027S01017
RUDRA GLOBAL INFRA PRODUCTS LI,RUDRA,,539226.0,INE027T01015
Rudra Global Infra Products Limited,,RUDRA,,INE027T01023
Bank of Baroda,BANKBARODA,BANKBARODA,532134.0,INE028A01039
SHARON BIO-MEDICINE LTD.,SHARONBIO,,532908.0,INE028B01029
LINAKS MICROELECTRONICS LTD.,LINAKS,,517463.0,INE028C01027
RAINBOW PAPERS LTD.,RAINBOWPAP,,523523.0,INE028D01025
Bharat Petroleum Corporation Limited,BPCL,BPCL,500547.0,INE029A01011
COSYN Limited,COSYN,,538922.0,INE029B01019
Sujala Trading & Holding Ltd.,SUJALA,,539117.0,INE029H01016
Kalyani Investment Company Limited,KICL,KICL,533302.0,INE029L01018
Rossari Biotech Limited,ROSSARI,ROSSARI,543213.0,INE02A801020
Roni Households Limited,RONI,,542145.0,INE02AP01013
Roni Households Limited,RONI-RE,,750742.0,INE02AP20013
Anmol India Limited,ANMOL,ANMOL,542437.0,INE02AR01019
CLASSIC ELECTRICALS LTD.,CLASELE,,512213.0,INE02BR01017
SHIKHAR LEASING & TRADING LTD.,SHIKHARLETR,,507952.0,INE02BV01019
SHAH CONSTRUCTION CO.LTD.,SHAHCON,,509870.0,INE02C301011
Axita Cotton Limited,AXITA,AXITA,542285.0,INE02EZ01022
Anand Rayons Limited,ARL,,542721.0,INE02GA01012
Nova Agritech Limited,,NOVAAGRI,,INE02H701025
Raymond Lifestyle Limited,,RAYMONDLSL,,INE02ID01020
Azad Engineering Limited,,AZAD,,INE02IJ01035
Borosil Scientific Limited,,BOROSCI,,INE02L001032
Fino Payments Bank Limited,FINOPB,FINOPB,543386.0,INE02NC01014
Humming Bird Education Limited,HBEL,,542592.0,INE02PC01019
Borosil Limited,BOROLTD,BOROLTD,543212.0,INE02PY01013
Brainbees Solutions Limited,,FIRSTCRY,,INE02RE01045
WONDER ELECTRICALS LIMITED,WEL,,543449.0,INE02WG01016
Wonder Electricals Limited,,WEL,,INE02WG01024
HINDUSTAN APPLIANCES LTD.,HINDAPL,,531918.0,INE02XD01011
Electronics Mart India Limited,EMIL,EMIL,543626.0,INE02YR01019
SHIVA SUITINGS LTD.,SHVSUIT,,521003.0,INE02Z901011
CORONA Remedies Limited,,CORONA,,INE02ZQ01018
Hindustan Unilever Limited,HINDUNILVR,HINDUNILVR,500696.0,INE030A01027
ANSAL BUILDWELL LTD.,ANSALBU,,523007.0,INE030C01015
ALACRITY SECURITIES LTD,ALSL,,535916.0,INE030P01017
Emerald Leasing Finance & Inve,EMERALD,,538882.0,INE030Q01015
Emerald Leasing Finance & Inve,EMERALD-RE,,750658.0,INE030Q20015
Tejnaksh Healthcare Limited,TEJNAKSH,,539428.0,INE030T01019
Khemani Distributors & Marketi,KDML,,539788.0,INE030U01025
Housing & Urban Development Corporation Limited,HUDCO,HUDCO,540530.0,INE031A01017
Ajanta Pharma Limited,AJANTPHARM,AJANTPHARM,532331.0,INE031B01049
Optimus Finance Limited,OPTIFIN,,531254.0,INE031G01014
Bombay Dyeing & Mfg Company Limited,BOMDYEING,BOMDYEING,500020.0,INE032A01023
Prime Securities Limited,PRIMESECU,PRIMESECU,500337.0,INE032B01021
ARYAMAN FINANCIAL SERVICES LTD,ARYAMAN,,530245.0,INE032E01017
SUN GRANITE EXPORT LIMITED,SUNGRAN,,531013.0,INE032M01010
Bombay Super Hybrid Seeds Limited,,BSHSL,,INE032Z01020
QUINTEGRA SOLUTIONS LTD.,QUINTEGRA,,532866.0,INE033B01011
ELNET TECHNOLOGIES LTD.,ELNET,,517477.0,INE033C01019
MID EAST PORTFOLIO MANAGEMENT,MIDEASTP,,526251.0,INE033E01015
SUBWAY FINANCE & INVESTMENT CO,ZSUBWAYF,,511024.0,INE033F01012
Arvind Limited,ARVIND,ARVIND,500101.0,INE034A01011
GUJARAT CREDIT CORPORATION LTD,GUJCRED,,511441.0,INE034B01019
PTL Enterprises Limited,PTL,PTL,509220.0,INE034D01049
TCM LTD.,TCMLMTD,,524156.0,INE034F01010
TCM Ltd.,TCM-RE,,750711.0,INE034F20010
Arvind SmartSpaces Limited,ARVSMART,ARVSMART,539301.0,INE034S01021
ACE ENGITECH LIMITED,ACEENGITEC,,530669.0,INE035401012
Aeroflex Neu Limited,SAH,AERONEU,543743.0,INE035801013
STARLITE COMPONENTS LTD.,STARLITE,,517548.0,INE035C01022
Savita Oil Technologies Limited,SOTL,SOTL,524667.0,INE035D01020
SUCHAK TRADING LTD.,SUCHTRD,,512075.0,INE035G01015
POCL ENTERPRISES LTD,POEL,,539195.0,INE035S01010
RELIANCE INFRASTRUCTURE LTD.,RELINFRA,,500390.0,INE036A01016
Gujarat Ambuja Exports Limited,GAEL,GAEL,524226.0,INE036B01030
Karur Vysya Bank Limited,KARURVYSYA,KARURVYSYA,590003.0,INE036D01028
Uniphos Enterprises Limited,UNIPHOS,UNIENTER,500429.0,INE037A01022
SHARDUL SECURITIES LTD.,SHARDUL,,512393.0,INE037B01012
Shardul Securities Limited,,SHARDUL,,INE037B01020
PHYTO CHEM (INDIA) LTD.,PHYTO,,524808.0,INE037C01010
Concord Enviro Systems Limited,,CEWATER,,INE037Z01029
Hindalco Industries Limited,HINDALCO,HINDALCO,500440.0,INE038A01020
SVC INDUSTRIES LIMITED,SVCIND,,524488.0,INE038B01010
TV Today Network Limited,TVTODAY,TVTODAY,532515.0,INE038F01029
INTEGRATED THERMOPLASTICS LTD.,INTETHR,,530921.0,INE038N01015
IFCI Limited,IFCI,IFCI,500106.0,INE039A01010
Cinevista Limited,CINEVISTA,CINEVISTA,532324.0,INE039B01026
Jamna Auto Industries Limited,JAMNAAUTO,JAMNAAUTO,520051.0,INE039C01032
HYPERSOFT TECHNOLOGIES LIMITED,HYPERSOFT,,539724.0,INE039D01014
Jash Engineering Limited,,JASH,,INE039O01029
Jubilant Agri and Consumer Products Limited,,JUBLCPL,,INE03CC01015
Gleam Fabmat Limited,GLEAM,,542477.0,INE03CM01014
JHS Svendgaard Retail Ventures Limited,,RETAIL,,INE03DD01011
Max Estates Limited,,MAXESTATES,,INE03EI01018
VL E-Governance & IT Solutions Limited,,VLEGOV,,INE03HW01020
Digicontent Limited,DGCONTENT,DGCONTENT,542685.0,INE03JI01017
Go Digit General Insurance Limited,,GODIGIT,,INE03JT01014
Brigade Hotel Ventures Limited,,BRIGHOTEL,,INE03NU01014
Alivus Life Sciences Limited,GLS,ALIVUS,543322.0,INE03Q201024
Cohance Lifesciences Limited,SUVENPHAR,COHANCE,543064.0,INE03QK01018
DRC Systems India Limited,DRCSYSTEMS,DRCSYSTEMS,543268.0,INE03RS01027
Universus Photo Imagings Limited,UNIVPHOTO,UNIVPHOTO,542933.0,INE03V001013
Roopshri Resorts Limited,ROOPSHRI,,542599.0,INE03WT01017
Chemcon Speciality Chemicals Limited,CHEMCON,CHEMCON,543233.0,INE03YM01018
HDFC Bank Limited,HDFCBANK,HDFCBANK,500180.0,INE040A01034
CALS REFINERIES LTD.,CALSREF,,526652.0,INE040C01022
Mayur Uniquoters Ltd,MAYURUNIQ,MAYURUNIQ,522249.0,INE040D01038
ERA BUILDSYS LIMITED,ERABUILD,,531615.0,INE040E01028
NETLINK SOLUTIONS (INDIA) LTD.,NETLINK,,509040.0,INE040F01033
Suzlon Energy Limited,SUZLON,SUZLON,532667.0,INE040H01021
SUZLON ENERGY LTD.,SUZLON-RE,,750734.0,INE040H20013
Tree House Education & Accessories Limited,TREEHOUSE,TREEHOUSE,533540.0,INE040M01013
PAZEL INTERNATIONAL LIMITED,PAZEL,,504335.0,INE040N01029
Embassy Office Parks REIT,EMBASSY,,542602.0,INE041025011
Dhampur Sugar Mills Limited,DHAMPURSUG,DHAMPURSUG,500119.0,INE041A01016
ASIT C.MEHTA FINANCIAL SERVICE,ASITCFIN,,530723.0,INE041B01014
DHANADA CORPORATION LTD.,DHANADACO,,531198.0,INE041F01015
Escorts Kubota Limited,ESCORTS,ESCORTS,500495.0,INE042A01014
TELESYS SOFTWARE LTD.,TELESYS,,532315.0,INE042B01012
ALFA ICA (INDIA) LTD.,ALFAICA,,530973.0,INE042C01010
GTL Limited,GTL,GTL,500160.0,INE043A01012
VINTRON INFORMATICS LTD.,VINTRON,,517393.0,INE043B01028
IVP Limited,IVP,IVP,507580.0,INE043C01018
IDFC LIMITED,IDFC,,532659.0,INE043D01016
N2N TECHNOLOGIES LIMITED,NNTL,,512279.0,INE043F01011
Jyot International Marketing L,JYOTIN,,542544.0,INE043R01016
